graph_id,experiment,n_ablated,ablated_features,sae_recon_mse,sae_ablation_mse,latent_change_mean,n_affected_nodes,total_nodes,gnn_fidelity_mse,gnn_causal_mse
746,latent512_k16_ablate_z496,1,z496,7.689477854455617e-08,9.970354541977144e-10,2.1124796489857545e-07,1,10,2.050228459227199e-10,0.0
2846,latent512_k16_ablate_z496,1,z496,2.039324797920017e-08,0.0,0.0,0,10,5.227187432899072e-11,0.0
4390,latent512_k16_ablate_z496,1,z496,1.1279952559561934e-05,8.732911993547532e-08,1.9770463950408157e-06,1,10,3.5606426536105573e-06,1.5321450774763434e-08
4435,latent512_k16_ablate_z496,1,z496,3.665795247798087e-06,4.4768505347292376e-08,2.0015447717014467e-06,2,10,1.3340090276869887e-07,6.430686205760594e-09
2106,latent512_k16_ablate_z496,1,z496,3.520219848951456e-08,0.0,0.0,0,10,2.674624965948169e-10,0.0
4026,latent512_k16_ablate_z496,1,z496,9.412674444320146e-07,5.2980659859258594e-09,4.869633016824082e-07,1,10,3.958646743740246e-07,3.394640124554371e-10
1137,latent512_k16_ablate_z496,1,z496,2.1077036649330694e-07,3.926982294899517e-09,5.928795872023329e-07,2,10,4.38152492066024e-09,2.7233831856321444e-10
188,latent512_k16_ablate_z496,1,z496,1.1054324033921148e-07,0.0,0.0,0,10,2.399072884795572e-10,0.0
1182,latent512_k16_ablate_z496,1,z496,1.1759048135218109e-07,9.349077600973033e-08,3.3801793506427202e-06,3,10,2.5865396491298043e-09,3.0055224975455985e-09
3221,latent512_k16_ablate_z496,1,z496,1.1051323411948033e-07,2.2851548209246175e-08,1.0113348025697633e-06,1,10,6.585003653469812e-10,0.0
2798,latent512_k16_ablate_z496,1,z496,2.8818954334042246e-08,0.0,0.0,0,10,1.4641958479000294e-10,0.0
1252,latent512_k16_ablate_z496,1,z496,1.8802245449478505e-07,2.5544093062990214e-08,1.9274746136943577e-06,4,10,4.346780713149201e-09,9.405900502912345e-10
4900,latent512_k16_ablate_z496,1,z496,1.9874928511853795e-06,6.106834149477436e-08,2.0407160263857804e-06,2,10,7.569450133360078e-08,1.8945758739619123e-08
2213,latent512_k16_ablate_z496,1,z496,7.010233282755962e-09,0.0,0.0,0,10,8.551648104926368e-12,0.0
3799,latent512_k16_ablate_z496,1,z496,1.085642438169998e-07,3.947567961404275e-08,1.8141232658308581e-06,2,10,5.382789214358752e-10,2.9679228519263745e-10
3484,latent512_k16_ablate_z496,1,z496,1.1572753777500111e-07,4.155559096830075e-08,1.8195853499491932e-06,2,10,4.637483286273891e-09,5.2796968186274995e-11
345,latent512_k16_ablate_z496,1,z496,9.600150008282071e-08,0.0,0.0,0,10,3.296653505735492e-10,0.0
998,latent512_k16_ablate_z496,1,z496,1.333631587385753e-07,0.0,0.0,0,10,4.905897910134627e-10,0.0
1824,latent512_k16_ablate_z496,1,z496,3.4480697763683565e-07,4.947021992052214e-08,2.1042669686721638e-06,2,10,2.710723912002777e-08,1.6980046257941694e-09
1970,latent512_k16_ablate_z496,1,z496,1.3870599957499508e-07,0.0,0.0,0,10,1.9212706980908933e-09,0.0
3525,latent512_k16_ablate_z496,1,z496,1.0703611508233735e-07,2.6249210804962786e-08,1.0839150945685105e-06,1,10,3.4835556661505507e-10,0.0
2407,latent512_k16_ablate_z496,1,z496,2.88249530910889e-08,0.0,0.0,0,10,1.506985647381498e-10,0.0
432,latent512_k16_ablate_z496,1,z496,1.4908981427197432e-07,2.4268658194159798e-08,1.4556660516973352e-06,2,10,6.510090244660205e-10,0.0
2623,latent512_k16_ablate_z496,1,z496,3.217667909893862e-08,0.0,0.0,0,10,1.7917090033847671e-10,0.0
781,latent512_k16_ablate_z496,1,z496,3.2625862900204083e-08,0.0,0.0,0,10,1.5623866089775618e-10,0.0
4757,latent512_k16_ablate_z496,1,z496,2.5372135041834554e-06,0.0,0.0,0,10,8.711936771987894e-08,0.0
1259,latent512_k16_ablate_z496,1,z496,1.8425802750243747e-07,0.0,0.0,0,10,2.1280837092518823e-09,0.0
4787,latent512_k16_ablate_z496,1,z496,4.255432031641249e-06,2.582840785692042e-08,1.0751921308838064e-06,1,10,2.3162662898812414e-07,4.279691712127942e-09
1679,latent512_k16_ablate_z496,1,z496,9.877685158699023e-08,2.0238804410155353e-08,1.3332650041775196e-06,2,10,1.9379506888128617e-09,1.2387639802824424e-09
4054,latent512_k16_ablate_z496,1,z496,4.0136882262231666e-07,1.1883261041845117e-09,2.306242095073685e-07,1,10,6.231222648978019e-09,0.0
85,latent512_k16_ablate_z496,1,z496,1.2361162760043953e-07,1.7058175316719826e-08,8.737828238736256e-07,1,10,7.254745137963425e-10,0.0
749,latent512_k16_ablate_z496,1,z496,6.736491542369549e-08,4.515840856811337e-08,1.421694946657226e-06,1,10,5.594097407524146e-10,0.0
1900,latent512_k16_ablate_z496,1,z496,3.455349428804766e-07,3.84422094157344e-09,4.148025141148537e-07,1,10,1.7111407402126133e-08,2.845812474561171e-10
4584,latent512_k16_ablate_z496,1,z496,4.008005817013327e-06,0.0,0.0,0,10,4.2864866145464475e-07,0.0
1379,latent512_k16_ablate_z496,1,z496,1.7448324740598764e-07,4.155685218165672e-08,1.8555314227342024e-06,2,10,6.066605440224748e-09,3.136748416565638e-09
4159,latent512_k16_ablate_z496,1,z496,9.717657576402416e-07,9.874046469349196e-08,2.102251983160386e-06,1,10,2.3762929401982547e-07,2.0239538045530026e-08
887,latent512_k16_ablate_z496,1,z496,5.9352892378683464e-08,0.0,0.0,0,10,2.812204635826987e-10,0.0
1349,latent512_k16_ablate_z496,1,z496,1.2134390203755174e-07,6.085009829348564e-08,2.294192427143571e-06,2,10,1.0161466335034675e-08,1.7897100468289295e-09
2080,latent512_k16_ablate_z496,1,z496,2.135992360763339e-08,0.0,0.0,0,10,7.524168094130701e-11,0.0
515,latent512_k16_ablate_z496,1,z496,2.3231280010804767e-07,0.0,0.0,0,10,1.4360862499174232e-09,0.0
1377,latent512_k16_ablate_z496,1,z496,4.126864894260507e-07,2.586949143790207e-08,1.790595661077532e-06,3,10,6.677119301912171e-08,1.680522165870002e-09
2255,latent512_k16_ablate_z496,1,z496,4.1042319764983404e-08,0.0,0.0,0,10,3.326409425685739e-10,0.0
