graph_id,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact,Total Impact
4558,0.012616189196705818,0.012846020050346851,0.01259647961705923,0.00022983085364103317,-0.00024954043328762054,-1.9709579646587372e-05
2607,0.005338363815099001,0.005338177550584078,0.005346036050468683,-1.862645149230957e-07,7.858499884605408e-06,7.672235369682312e-06
2156,0.00010237013339065015,0.00010240633855573833,0.00010152189497603104,3.620516508817673e-08,-8.844435797072947e-07,-8.48238414619118e-07
4903,0.0045746006071567535,0.004577739629894495,0.004569357726722956,3.1390227377414703e-06,-8.381903171539307e-06,-5.242880433797836e-06
4595,0.00936782918870449,0.009331092238426208,0.00905565358698368,-3.6736950278282166e-05,-0.00027543865144252777,-0.00031217560172080994
577,0.014224253594875336,0.014222915284335613,0.014274676330387592,-1.3383105397224426e-06,5.1761046051979065e-05,5.042273551225662e-05
4783,0.02038021944463253,0.02034863643348217,0.01986144855618477,-3.158301115036011e-05,-0.00048718787729740143,-0.0005187708884477615
3299,0.0017707397928461432,0.001768652000464499,0.0017992714419960976,-2.087792381644249e-06,3.061944153159857e-05,2.853164914995432e-05
190,0.0031566654797643423,0.0031566524412482977,0.003153485246002674,-1.30385160446167e-08,-3.1671952456235886e-06,-3.1802337616682053e-06
4538,0.008960527367889881,0.008911705575883389,0.009078084491193295,-4.8821792006492615e-05,0.000166378915309906,0.00011755712330341339
2545,0.005745012313127518,0.005744957830756903,0.005747274495661259,-5.448237061500549e-08,2.316664904356003e-06,2.2621825337409973e-06
4734,0.0037551778368651867,0.0037641318049281836,0.004219453316181898,8.953968062996864e-06,0.00045532151125371456,0.0004642754793167114
1564,0.005650432780385017,0.005649780388921499,0.005623889621347189,-6.523914635181427e-07,-2.5890767574310303e-05,-2.6543159037828445e-05
65,0.0016131835291162133,0.0016129760770127177,0.0016210803296416998,-2.0745210349559784e-07,8.104252628982067e-06,7.89680052548647e-06
442,0.0009102280018851161,0.0009113855776377022,0.0008834342588670552,1.1575757525861263e-06,-2.795131877064705e-05,-2.6793743018060923e-05
277,0.01215633749961853,0.01215623039752245,0.012160349637269974,-1.0710209608078003e-07,4.1192397475242615e-06,4.0121376514434814e-06
2299,0.009404361248016357,0.009404412470757961,0.009402810595929623,5.122274160385132e-08,-1.601874828338623e-06,-1.5506520867347717e-06
721,0.0005154444370418787,0.0005161683657206595,0.0004999626544304192,7.239286787807941e-07,-1.6205711290240288e-05,-1.5481782611459494e-05
1294,0.0033630444668233395,0.0033711339347064495,0.0033452464267611504,8.089467883110046e-06,-2.588750794529915e-05,-1.7798040062189102e-05
3681,0.007663157302886248,0.007664053235203028,0.007701775059103966,8.959323167800903e-07,3.7721823900938034e-05,3.8617756217718124e-05
2085,0.000178312708158046,0.00017807961557991803,0.00018778422963805497,-2.3309257812798023e-07,9.70461405813694e-06,9.47152148000896e-06
4360,0.013937362469732761,0.013959941454231739,0.013748683035373688,2.257898449897766e-05,-0.0002112584188580513,-0.00018867943435907364
1827,0.004630523268133402,0.004626460839062929,0.004788797814399004,-4.062429070472717e-06,0.00016233697533607483,0.0001582745462656021
2894,0.013769381679594517,0.013769970275461674,0.013747924007475376,5.885958671569824e-07,-2.2046267986297607e-05,-2.1457672119140625e-05
3785,0.002287659328430891,0.0022881270851939917,0.00221204268746078,4.677567631006241e-07,-7.608439773321152e-05,-7.56166409701109e-05
562,0.002311317017301917,0.0023111174814403057,0.0023087458685040474,-1.9953586161136627e-07,-2.371612936258316e-06,-2.5711487978696823e-06
4826,0.004472941160202026,0.004468386061489582,0.0043448046781122684,-4.555098712444305e-06,-0.00012358138337731361,-0.00012813648208975792
2635,0.003614373505115509,0.0036143967881798744,0.0036137374117970467,2.3283064365386963e-08,-6.593763828277588e-07,-6.360933184623718e-07
3475,0.0041683814488351345,0.004168382380157709,0.004122821148484945,9.313225746154785e-10,-4.5561231672763824e-05,-4.556030035018921e-05
1734,0.0029711690731346607,0.0029830303974449635,0.002990757580846548,1.1861324310302734e-05,7.727183401584625e-06,1.958850771188736e-05
145,0.003079385729506612,0.003078252077102661,0.003122160444036126,-1.1336524039506912e-06,4.3908366933465004e-05,4.277471452951431e-05
1576,0.003194544930011034,0.0031913244165480137,0.0031575083266943693,-3.2205134630203247e-06,-3.381608985364437e-05,-3.7036603316664696e-05
4042,0.0026477586943656206,0.0027347702998667955,0.003035328583791852,8.701160550117493e-05,0.00030055828392505646,0.0003875698894262314
4630,0.029350008815526962,0.029309218749403954,0.02949819341301918,-4.079006612300873e-05,0.00018897466361522675,0.00014818459749221802
1950,0.0036579573061317205,0.0036574951373040676,0.0052428110502660275,-4.621688276529312e-07,0.0015853159129619598,0.001584853744134307
3750,0.002714302157983184,0.00271490472368896,0.002637479454278946,6.025657057762146e-07,-7.742526941001415e-05,-7.682270370423794e-05
2318,0.002173521788790822,0.0021741364616900682,0.0021508948411792517,6.146728992462158e-07,-2.3241620510816574e-05,-2.2626947611570358e-05
1296,0.0015483023598790169,0.0015484681352972984,0.002031116746366024,1.6577541828155518e-07,0.0004826486110687256,0.00048281438648700714
2685,0.001638590358197689,0.0016386526403948665,0.001636333530768752,6.228219717741013e-08,-2.3191096261143684e-06,-2.2568274289369583e-06
3326,0.00024335336638614535,0.00024335336638614535,0.00024335336638614535,0.0,0.0,0.0
2775,0.00024156839936040342,0.00024179258616641164,0.0002336712641408667,2.2418680600821972e-07,-8.121322025544941e-06,-7.897135219536722e-06
840,1.4122663742455188e-05,1.389866793033434e-05,2.384069375693798e-05,-2.239958121208474e-07,9.94202582660364e-06,9.718030014482792e-06
644,0.0013705006567761302,0.0013698982074856758,0.001395079423673451,-6.024492904543877e-07,2.5181216187775135e-05,2.4578766897320747e-05
1117,0.007549236994236708,0.007545902393758297,0.007412344682961702,-3.334600478410721e-06,-0.00013355771079659462,-0.00013689231127500534
2917,0.0003672996535897255,0.00036742378142662346,0.00036267584073357284,1.2412783689796925e-07,-4.747940693050623e-06,-4.623812856152654e-06
4257,0.013000975362956524,0.013050917536020279,0.013663935475051403,4.9942173063755035e-05,0.0006130179390311241,0.0006629601120948792
4138,0.027913818135857582,0.02792365662753582,0.027706244960427284,9.838491678237915e-06,-0.00021741166710853577,-0.00020757317543029785
2818,0.005322752054780722,0.005322448909282684,0.005334554705768824,-3.0314549803733826e-07,1.2105796486139297e-05,1.180265098810196e-05
3847,0.003353529144078493,0.003352070925757289,0.0033360873349010944,-1.4582183212041855e-06,-1.5983590856194496e-05,-1.744180917739868e-05
149,0.0019243500428274274,0.0019253435311838984,0.001894757035188377,9.934883564710617e-07,-3.0586495995521545e-05,-2.9593007639050484e-05
3589,0.0011822961969301105,0.001181939383968711,0.0011892979964613914,-3.568129613995552e-07,7.35861249268055e-06,7.001799531280994e-06
2157,0.00032748637022450566,0.0003279359661974013,0.0003110413672402501,4.4959597289562225e-07,-1.6894598957151175e-05,-1.6445002984255552e-05
4977,0.010163727216422558,0.009879915975034237,0.009913182817399502,-0.0002838112413883209,3.326684236526489e-05,-0.00025054439902305603
2778,0.008397197350859642,0.008397470228374004,0.008387494832277298,2.728775143623352e-07,-9.97539609670639e-06,-9.702518582344055e-06
118,0.000683505495544523,0.0006830988568253815,0.0006953401607461274,-4.066387191414833e-07,1.224130392074585e-05,1.1834665201604366e-05
732,0.004568683449178934,0.004568437114357948,0.004578623920679092,-2.4633482098579407e-07,1.0186806321144104e-05,9.94047150015831e-06
4366,0.005883605219423771,0.005879448261111975,0.005807294975966215,-4.156958311796188e-06,-7.215328514575958e-05,-7.631024345755577e-05
1623,0.009750805795192719,0.009697310626506805,0.009629948064684868,-5.3495168685913086e-05,-6.736256182193756e-05,-0.00012085773050785065
1737,0.008000907488167286,0.008014085702598095,0.008364549838006496,1.3178214430809021e-05,0.0003504641354084015,0.0003636423498392105
2645,0.0002025352296186611,0.00020257064898032695,0.00020164613670203835,3.541936166584492e-08,-9.245122782886028e-07,-8.890929166227579e-07
503,0.0025954085867851973,0.0025943932123482227,0.002614550990983844,-1.0153744369745255e-06,2.015777863562107e-05,1.9142404198646545e-05
2827,0.00031742293504066765,0.00031740550184622407,0.0003132818383164704,-1.743319444358349e-08,-4.123663529753685e-06,-4.1410967241972685e-06
